"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN20EABA81568A42F,Manhattan Alignment & Diagnostic Center,"555 W 131st St, New York, NY 10027",https://www.bing.com/th?id=OLC.ub0BnIvtidNmYA480x360&pid=Local,https://www.bing.com/maps?cp=40.81728744506836%7E-73.95598602294922&lvl=16.0&q=Manhattan%20Alignment%20%26%20Diagnostic%20Center%20%2C%20555%20W%20131st%20St%2C%20New%20York%2C%20NY%2010027,40.81728745,-73.95598602,5,Yelp (197),汽车维修,歇业 · 营业时间: 明天 08:00,http://www.manhattanalignment.com/,(212) 281-0300,info@manhattanalignment.com,https://www.facebook.com/permalink.php?story_fbid=245495211390733&id=100077907677058,https://www.facebook.com/permalink.php?story_fbid=245495211390733&id=100077907677058,,
ypid:YN111FCDC9C311E43D,54th Street Auto Care,"415 W 54th St, New York, NY 10019",https://www.bing.com/th?id=OLC.//L7PD0FdAIFIw480x360&pid=Local,https://www.bing.com/maps?cp=40.766605377197266%7E-73.98788452148438&lvl=16.0&q=54th%20Street%20Auto%20Care%20%2C%20415%20W%2054th%20St%2C%20New%20York%2C%20NY%2010019,40.76660538,-73.98788452,2,Yelp (137),汽车维修,歇业 · 营业时间: 明天 08:00,http://www.54thstreetauto.com/,(212) 265-3120,"54thstreetautocenter@gmail.com,54thstautocenter@gmail.com",,,,
ypid:YN1AB350F2EED776F0,A Euro American Auto & Tire Center,"3059 41st St, Astoria, NY 11103",https://www.bing.com/th?id=OLC.6t5X2MHdiRKSJw480x360&pid=Local,https://www.bing.com/maps?cp=40.76201248168945%7E-73.91523742675781&lvl=16.0&q=A%20Euro%20American%20Auto%20%26%20Tire%20Center%20%2C%203059%2041st%20St%2C%20Astoria%2C%20NY%2011103,40.76201248,-73.91523743,5,Yelp (129),汽车维修,歇业 · 营业时间: 明天 08:00,http://www.aeuroamericanauto.com/,(718) 728-2770,"info@besteuroauto.com,laz@aeuroamericanauto.com,privacy@leadventure.com,info@netdriven.com","https://www.facebook.com/aeuroamerican,https://twitter.com/aeuroamerican,https://www.yelp.com/biz/a-euro-american-auto-and-tire-center-astoria",https://www.facebook.com/aeuroamerican,,https://twitter.com/aeuroamerican
ypid:YNEDFE395F64CBAFC7,Repairs On Wheels,"833 McDonald Ave, Brooklyn, NY 11218",https://www.bing.com/th?id=OLC.PlfjGllOnm2HaQ480x360&pid=Local,https://www.bing.com/maps?cp=40.63376235961914%7E-73.97732543945312&lvl=16.0&q=Repairs%20On%20Wheels%20%2C%20833%20McDonald%20Ave%2C%20Brooklyn%2C%20NY%2011218,40.63376236,-73.97732544,4.5,Yelp (637),汽车维修,营业 · 歇业时间: 18:00,https://www.repairsonwheelsbk.com/,(718) 871-0797,"profiles@birdeye.com,kontakt@apartment-lichtenwald.de","https://www.facebook.com/permalink.php?story_fbid=3418833895035324&id=100007262415716,https://twitter.com/repaironwheels,https://www.instagram.com/repairsonwheelsbk/,https://www.yelp.com/biz/repairs-on-wheels-brooklyn-4?start=20",https://www.facebook.com/permalink.php?story_fbid=3418833895035324&id=100007262415716,https://www.instagram.com/repairsonwheelsbk/,https://twitter.com/repaironwheels
ypid:YN86575D558ADC9FC6,MINHS Automotive,"578 3rd Ave, Brooklyn, NY 11215",https://www.bing.com/th?id=OLC.zyY+7DIn9r0tWA480x360&pid=Local,https://www.bing.com/maps?cp=40.66758728027344%7E-73.99443054199219&lvl=16.0&q=MINHS%20Automotive%20%2C%20578%203rd%20Ave%2C%20Brooklyn%2C%20NY%2011215,40.66758728,-73.99443054,4,Yelp (263),汽车维修,歇业 · 营业时间: 明天 08:00,https://www.minhsautocare.com/,(718) 832-3096,"minaechoi@naver.com,hello@minhsautocare.com","https://www.facebook.com/corpnyc/posts/6203337286414501,https://twitter.com/minhsautocare,https://www.yelp.com/biz/minhs-automotive-brooklyn-2?start=20,https://www.youtube.com/channel/uczqjq0d2yfgsat692dgvi4w,https://instagram.com/minhsautomotive",https://www.facebook.com/corpnyc/posts/6203337286414501,https://instagram.com/minhsautomotive,https://twitter.com/minhsautocare
ypid:YN694A4EE80D9B7CE4,New Xcell Auto Repair,"60 Cadman Plaza W, Brooklyn, NY 11201",https://www.bing.com/th?id=OLC.FkMayoNVwhgweg480x360&pid=Local,https://www.bing.com/maps?cp=40.70208740234375%7E-73.9928970336914&lvl=16.0&q=New%20Xcell%20Auto%20Repair%20%2C%2060%20Cadman%20Plaza%20W%2C%20Brooklyn%2C%20NY%2011201,40.7020874,-73.99289703,4.5,Yelp (79),汽车维修,歇业 · 营业时间: 明天 08:00,https://www.newxcell.com/,(718) 625-4110,eric@newxcell.com,"https://instagram.com/wix/,https://www.yelp.com/biz/new-xcell-auto-repair-brooklyn-2",,https://instagram.com/wix/,
ypid:YN2EC9365792F3334B,Precision Transmissions - Auto Body & Collision Repair,"1454 Atlantic Ave, Brooklyn, NY 11216",https://www.bing.com/th?id=OLC.fx83/QBgwp9Qsw480x360&pid=Local,https://www.bing.com/maps?cp=40.6778450012207%7E-73.94356536865234&lvl=16.0&q=Precision%20Transmissions%20-%20Auto%20Body%20%26%20Collision%20Repair%20%2C%201454%20Atlantic%20Ave%2C%20Brooklyn%2C%20NY%2011216,40.677845,-73.94356537,4.5,Yelp (277),车身修理厂,歇业 · 营业时间: 明天 08:00,http://precisiontransmissions.com/,(718) 221-5131,sutter7515@sbcglobal.net,"https://www.facebook.com/precisiontransmissions,https://www.instagram.com/precision_transmissions/,https://business.twitter.com/en/help/troubleshooting/how-twitter-ads-work.html?ref=web-twc-ao-gbl-adsinfo&utm_source=twc&utm_medium=web&utm_campaign=ao&utm_content=adsinfo,https://www.yelp.com/biz/precision-transmissions-brooklyn",https://www.facebook.com/precisiontransmissions,https://www.instagram.com/precision_transmissions/,https://business.twitter.com/en/help/troubleshooting/how-twitter-ads-work.html?ref=web-twc-ao-gbl-adsinfo&utm_source=twc&utm_medium=web&utm_campaign=ao&utm_content=adsinfo
ypid:YNBF40FC9F1EBF5508,Blue Star Brothers Auto Repair Shop | Greenpoint,"384 McGuinness Blvd, Brooklyn, NY 11222",https://www.bing.com/th?id=OLC.xfiCZO2pSt2geA480x360&pid=Local,https://www.bing.com/maps?cp=40.736026763916016%7E-73.95225524902344&lvl=16.0&q=Blue%20Star%20Brothers%20Auto%20Repair%20Shop%20%7C%20Greenpoint%20%2C%20384%20McGuinness%20Blvd%2C%20Brooklyn%2C%20NY%2011222,40.73602676,-73.95225525,4.5,Yelp (107),车身修理厂,歇业 · 营业时间: 明天 08:00,https://www.bluestarbrothers.com/,(718) 395-2124,"greenpoint@bluestarbrothers.com,glendale@bluestarbrothers.com,John@bluestarbrothers.com,atendimento@naville.com.br,vendas@naville.com.br,guneyguven@triyainsaat.com,Alexander@bluestarbrothers.com","https://instagram.com/bluestarbrothers/,https://facebook.com/bluestarbrothers,https://youtube.com/@bluestarbrothers,https://www.linkedin.com/company/bluestarbrothers/,https://www.tiktok.com/@bluestarbrothers,https://www.yelp.com/biz/blue-star-brothers-brooklyn",https://facebook.com/bluestarbrothers,https://instagram.com/bluestarbrothers/,
ypid:YN2894338B5A5521D8,B & S Auto,"25 New York Ave, Huntington, NY 11743",,https://www.bing.com/maps?cp=40.882144927978516%7E-73.4203109741211&lvl=16.0&q=B%20%26%20S%20Auto%20%2C%2025%20New%20York%20Ave%2C%20Huntington%2C%20NY%2011743,40.88214493,-73.42031097,,,汽车维修,,,,,,,,
ypid:YN6EFBB664E76C48E1,BKM Car Service Inc. - Bosch Car Service,"3419 38th St, Long Island City, NY 11101",https://www.bing.com/th?id=OLC.5Jg9oYfR2dFV+A480x360&pid=Local,https://www.bing.com/maps?cp=40.75642013549805%7E-73.92192840576172&lvl=16.0&q=BKM%20Car%20Service%20Inc.%20-%20Bosch%20Car%20Service%20%2C%203419%2038th%20St%2C%20Long%20Island%20City%2C%20NY%2011101,40.75642014,-73.92192841,,,汽车维修,,http://www.boschcarservice.us/,(718) 361-9515,"marco.frozza@autotempel.ch,tokai@kohlerauto.co.za,info@boschcarservice.sydney,John@boschcarservice.us,JSmith@boschcarservice.us,John.Smith@boschcarservice.us,bosch.service@br.bosch.com","https://www.linkedin.com/company/bosch-auto-service/,https://www.facebook.com/BoschAutoServiceUS/,https://www.instagram.com/boschautoserviceus/",https://www.facebook.com/BoschAutoServiceUS/,https://www.instagram.com/boschautoserviceus/,
ypid:YN64F190E09180235,Precision Auto Works (Auto Repair & Maintenance),"1029 46th Rd, Long Island City, NY 11101",https://www.bing.com/th?id=OLC.KwIMtfkOJl384g480x360&pid=Local,https://www.bing.com/maps?cp=40.746063232421875%7E-73.95172882080078&lvl=16.0&q=Precision%20Auto%20Works%20(Auto%20Repair%20%26%20Maintenance)%20%2C%201029%2046th%20Rd%2C%20Long%20Island%20City%2C%20NY%2011101,40.74606323,-73.95172882,4,Yelp (50),汽车维修,歇业 · 营业时间: 明天 08:00,http://www.precisionautorepair.nyc/,(718) 786-2923,info@precisionautorepair.nyc,"https://www.instagram.com/precisionautoworksny,https://www.yelp.com/biz/precision-auto-works-repair-and-service-long-island-city",,https://www.instagram.com/precisionautoworksny,
ypid:YNCDD570A21336B525,NYC Wheel Professionals,"725 3rd Ave, Brooklyn, NY 11232",https://www.bing.com/th?id=OLC.7z0nu14bIU6qUg480x360&pid=Local,https://www.bing.com/maps?cp=40.66231918334961%7E-73.99889373779297&lvl=16.0&q=NYC%20Wheel%20Professionals%20%2C%20725%203rd%20Ave%2C%20Brooklyn%2C%20NY%2011232,40.66231918,-73.99889374,2,Yelp (98),汽车维修,营业 · 歇业时间: 15:00,https://www.nycwheelpros.com/,(646) 450-7290,,"https://www.facebook.com/nycwheelpros,https://www.instagram.com/nycwheelprofessionals/",https://www.facebook.com/nycwheelpros,https://www.instagram.com/nycwheelprofessionals/,
ypid:YN705B0FD569D65ED6,Parkside Service Center,"584 Union St, Brooklyn, NY 11215",https://www.bing.com/th?id=OLC.3cJ6Rank/2N4Bw480x360&pid=Local,https://www.bing.com/maps?cp=40.67784881591797%7E-73.98480987548828&lvl=16.0&q=Parkside%20Service%20Center%20%2C%20584%20Union%20St%2C%20Brooklyn%2C%20NY%2011215,40.67784882,-73.98480988,4.5,Yelp (101),汽车维修,歇业 · 营业时间: 明天 06:30,http://parksideautocare.com/,(718) 852-7969,"parksideautocare@gmail.com,parksideautocare@aol.com","https://www.yelp.com/biz/parkside-auto-care-brooklyn?hrid=52qxhexfan0hxkq7bx9u6q,https://www.facebook.com/parksideautocare",https://www.facebook.com/parksideautocare,,
ypid:YN32C0A6D91A6BDCDB,Gerardo's Auto Repair,"1214 Bergenline Ave, Union City, NJ 07087",https://www.bing.com/th?id=OLC.RXPzj/e8h5wAOw480x360&pid=Local,https://www.bing.com/maps?cp=40.75986862182617%7E-74.03706359863281&lvl=16.0&q=Gerardo's%20Auto%20Repair%20%2C%201214%20Bergenline%20Ave%2C%20Union%20City%2C%20NJ%2007087,40.75986862,-74.0370636,,,汽车维修,歇业 · 营业时间: 明天 08:00,https://gerardosauto.com/,(201) 617-0005,gerardosauto@gmail.com,"https://www.instagram.com/gerardosauto/,https://www.facebook.com/gerardosauto/",https://www.facebook.com/gerardosauto/,https://www.instagram.com/gerardosauto/,
ypid:YN14C7CE19958991CA,Vernon Auto Repair,"3801 Vernon Blvd, Long Island City, NY 11101",https://www.bing.com/th?id=OLC.HBXzCWNmqU+AAw480x360&pid=Local,https://www.bing.com/maps?cp=40.759071350097656%7E-73.94403076171875&lvl=16.0&q=Vernon%20Auto%20Repair%20%2C%203801%20Vernon%20Blvd%2C%20Long%20Island%20City%2C%20NY%2011101,40.75907135,-73.94403076,4.5,Yelp (24),汽车维修,24 小时营业,https://www.vernonauto.repair/,(718) 666-7592,,"https://www.instagram.com/vernonautorepair/,https://www.yelp.com/biz/vernon-auto-repairs-long-island-city?osq=vernon+auto+repairs",,https://www.instagram.com/vernonautorepair/,
ypid:YNB3D1F3430A8926,T & D Auto Repair,"896 4th Ave, Brooklyn, NY 11232",https://www.bing.com/th?id=OLC.iW9jH0KAepgF6A480x360&pid=Local,https://www.bing.com/maps?cp=40.65630340576172%7E-74.0028076171875&lvl=16.0&q=T%20%26%20D%20Auto%20Repair%20%2C%20896%204th%20Ave%2C%20Brooklyn%2C%20NY%2011232,40.65630341,-74.00280762,5,Yelp (15),汽车维修,歇业 · 营业时间: 明天 08:00,http://www.tdautony.com/,(718) 972-6620,theTDAuto@gmail.com,,,,
ypid:YNC17BA0041203A31D,A&A Quick Fix Auto Repair,"889 3rd Ave, Brooklyn, NY 11232",https://www.bing.com/th?id=OLC.SOaIwHLIuXkGZw480x360&pid=Local,https://www.bing.com/maps?cp=40.657222747802734%7E-74.00421142578125&lvl=16.0&q=A%26A%20Quick%20Fix%20Auto%20Repair%20%2C%20889%203rd%20Ave%2C%20Brooklyn%2C%20NY%2011232,40.65722275,-74.00421143,,,汽车维修,歇业 · 营业时间: 明天 08:00,https://carrepairinbrooklyn.com/,(718) 788-1148,ali@aaquickfix.com,,,,
ypid:YNB73C03CAC0352EB2,ABC Auto Body Shop Of Park Slope,"189 1st St, Brooklyn, NY 11215",https://www.bing.com/th?id=OLC.7ggZhucS4xcl+g480x360&pid=Local,https://www.bing.com/maps?cp=40.676124572753906%7E-73.98643493652344&lvl=16.0&q=ABC%20Auto%20Body%20Shop%20Of%20Park%20Slope%20%2C%20189%201st%20St%2C%20Brooklyn%2C%20NY%2011215,40.67612457,-73.98643494,4.5,Yelp (75),车身修理厂,歇业 · 营业时间: 明天 08:00,https://abccollisionshop.com/,(718) 522-3111,"ABCcollision@idealautona.com,admrodrigopecas@hotmail.com","https://www.instagram.com/abcautobodyparkslope/,https://www.facebook.com/profile.php?id=61574220835565",https://www.facebook.com/profile.php?id=61574220835565,https://www.instagram.com/abcautobodyparkslope/,
ypid:YN5D11D8E8785EE95F,"Fix-Rite Auto Body & Repair || Best Car servicing Center in Brooklyn,New York,USA","912 Cortelyou Rd, Brooklyn, NY 11218",https://www.bing.com/th?id=OLC.k0RPe3XbRIrfsA480x360&pid=Local,https://www.bing.com/maps?cp=40.63872146606445%7E-73.9693374633789&lvl=16.0&q=Fix-Rite%20Auto%20Body%20%26%20Repair%20%7C%7C%20Best%20Car%20servicing%20Center%20in%20Brooklyn%2CNew%20York%2CUSA%20%2C%20912%20Cortelyou%20Rd%2C%20Brooklyn%2C%20NY%2011218,40.63872147,-73.96933746,4,Yelp (9),汽车维修,歇业 · 营业时间: 明天 09:00,https://fix-rite.com/,(718) 484-4300,fixritear@gmail.com,,,,
ypid:YNE1E805DD99ECA5B8,Five ZS Auto Repair,"6938 Central Ave, Glendale, NY 11385",https://www.bing.com/th?id=OLC.2Oo8gUSLLT34Gg480x360&pid=Local,https://www.bing.com/maps?cp=40.704158782958984%7E-73.8823013305664&lvl=16.0&q=Five%20ZS%20Auto%20Repair%20%2C%206938%20Central%20Ave%2C%20Glendale%2C%20NY%2011385,40.70415878,-73.88230133,4,Yelp (24),汽车维修,歇业 · 营业时间: 明天 07:00,http://www.fivezsautorepair.com/,(718) 386-2428,fivezsauto@yahoo.com,"https://www.facebook.com/five-zs-auto-repair-inc-10150134421640621/,https://twitter.com/fivezsauto5z,https://instagram.com/fivezsautorepair/",https://www.facebook.com/five-zs-auto-repair-inc-10150134421640621/,https://instagram.com/fivezsautorepair/,https://twitter.com/fivezsauto5z
ypid:YN756088D1011B0BF2,ZAMBRAND AUTO REPAIR INC,"250 42nd St, Brooklyn, NY 11232",https://www.bing.com/th?id=OLC.JE+QY0dEB/SzGQ480x360&pid=Local,https://www.bing.com/maps?cp=40.6525993347168%7E-74.01115417480469&lvl=16.0&q=ZAMBRAND%20AUTO%20REPAIR%20INC%20%2C%20250%2042nd%20St%2C%20Brooklyn%2C%20NY%2011232,40.65259933,-74.01115417,4.5,Yelp (15),汽车维修,歇业 · 营业时间: 明天 08:00,http://www.zambrandauto.com/,(718) 965-1903,zambrandauto@gmail.com,"https://www.facebook.com/jessuly.duran/posts/5292730320752792,https://www.yelp.com/biz/zambrands-auto-repair-brooklyn",https://www.facebook.com/jessuly.duran/posts/5292730320752792,,
ypid:YNF46686E4E459087A,Dependable Auto Repair & Body,"6020 68th Ave, Ridgewood, NY 11385",https://www.bing.com/th?id=OLC.BjTd6ywTPY4edw480x360&pid=Local,https://www.bing.com/maps?cp=40.70408248901367%7E-73.8993148803711&lvl=16.0&q=Dependable%20Auto%20Repair%20%26%20Body%20%2C%206020%2068th%20Ave%2C%20Ridgewood%2C%20NY%2011385,40.70408249,-73.89931488,4.5,Yelp (28),汽车维修,歇业 · 营业时间: 明天 08:00,https://www.dependableauto2.com/,(718) 821-1640,,"https://www.yelp.com/biz/dependable-auto-repair-and-body-ridgewood,https://www.facebook.com/profile.php?id=100069784406695",https://www.facebook.com/profile.php?id=100069784406695,,
ypid:YN2D262BDDF2E3202,"German Auto Care, Inc.","1414 Astoria Blvd, Astoria, NY 11102",https://www.bing.com/th?id=OLC.X7+ZQgZfxrHoIQ480x360&pid=Local,https://www.bing.com/maps?cp=40.7719841003418%7E-73.9283218383789&lvl=16.0&q=German%20Auto%20Care%2C%20Inc.%20%2C%201414%20Astoria%20Blvd%2C%20Astoria%2C%20NY%2011102,40.7719841,-73.92832184,4.5,Yelp (36),汽车维修,歇业 · 营业时间: 明天 08:00,http://www.germanautocareny.com/,(718) 956-3090,germanautocareny@gmail.com,https://www.yelp.com/biz/german-auto-care-long-island-city-2?adjust_creative=microsoft&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=microsoft,,,
